Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
multi-printed-shirt-midi-dress,Multi Printed Shirt Midi Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,l,DS05ML5043L,400,shopify,50,deny,manual,4499,,true,true,
multi-printed-shirt-midi-dress,Multi Printed Shirt Midi Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,xl,DS05ML5043XL,400,shopify,50,deny,manual,4499,,true,true,
multi-printed-shirt-midi-dress,Multi Printed Shirt Midi Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,2xl,DS05ML5043XXL,400,shopify,50,deny,manual,4499,,true,true,
black-embroidered-fit-and-flare-midi-dress,Black Embroidered Fit And Flare  Midi Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,true,Size,m,DS00BK5047M,400,shopify,50,deny,manual,5499,,true,true,active
black-embroidered-fit-and-flare-midi-dress,Black Embroidered Fit And Flare  Midi Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,l,DS00BK5047L,400,shopify,50,deny,manual,5499,,true,true,
black-embroidered-fit-and-flare-midi-dress,Black Embroidered Fit And Flare  Midi Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,xl,DS00BK5047XL,400,shopify,50,deny,manual,5499,,true,true,
black-embroidered-fit-and-flare-midi-dress,Black Embroidered Fit And Flare  Midi Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,2xl,DS00BK5047XXL,400,shopify,50,deny,manual,5499,,true,true,
black-embroidered-short-dress,Black Embroidered Short Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,true,Size,s,DS00BK5048S,400,shopify,50,deny,manual,4699,,true,true,active
black-embroidered-short-dress,Black Embroidered Short Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,m,DS00BK5048M,400,shopify,50,deny,manual,4699,,true,true,
black-embroidered-short-dress,Black Embroidered Short Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,l,DS00BK5048L,400,shopify,50,deny,manual,4699,,true,true,
black-embroidered-short-dress,Black Embroidered Short Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,xl,DS00BK5048XL,400,shopify,50,deny,manual,4699,,true,true,
black-embroidered-fit-and-flare-short-dress,Black Embroidered Fit And Flare Short Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,true,Size,s,DS00BK5049S,400,shopify,50,deny,manual,4799,,true,true,active
black-embroidered-fit-and-flare-short-dress,Black Embroidered Fit And Flare Short Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,m,DS00BK5049M,400,shopify,50,deny,manual,4799,,true,true,
black-embroidered-fit-and-flare-short-dress,Black Embroidered Fit And Flare Short Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,l,DS00BK5049L,400,shopify,50,deny,manual,4799,,true,true,
black-embroidered-fit-and-flare-short-dress,Black Embroidered Fit And Flare Short Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,xl,DS00BK5049XL,400,shopify,50,deny,manual,4799,,true,true,
black-embroidered-empire-dress,Black Embroidered Empire Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,true,Size,s,DS00BK5052S,400,shopify,50,deny,manual,5199,,true,true,active
black-embroidered-empire-dress,Black Embroidered Empire Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,m,DS00BK5052M,400,shopify,50,deny,manual,5199,,true,true,
black-embroidered-empire-dress,Black Embroidered Empire Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,l,DS00BK5052L,400,shopify,50,deny,manual,5199,,true,true,
black-embroidered-empire-dress,Black Embroidered Empire Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,xl,DS00BK5052XL,400,shopify,50,deny,manual,5199,,true,true,
printed-fit-and-flare-midi-dress,Printed Fit And Flare Midi Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,true,Size,m,DS05GY5054M,400,shopify,50,deny,manual,4399,,true,true,active
printed-fit-and-flare-midi-dress,Printed Fit And Flare Midi Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,l,DS05GY5054L,400,shopify,50,deny,manual,4399,,true,true,
printed-fit-and-flare-midi-dress,Printed Fit And Flare Midi Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,xl,DS05GY5054XL,400,shopify,50,deny,manual,4399,,true,true,
printed-fit-and-flare-midi-dress,Printed Fit And Flare Midi Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,2xl,DS05GY5054XXL,400,shopify,50,deny,manual,4399,,true,true,
polka-dot-print-fit-and-flare-dress,Polka Dot Print  Fit And Flare Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,true,Size,m,DS05BK5055M,400,shopify,50,deny,manual,3799,,true,true,active
polka-dot-print-fit-and-flare-dress,Polka Dot Print  Fit And Flare Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,l,DS05BK5055L,400,shopify,50,deny,manual,3799,,true,true,
polka-dot-print-fit-and-flare-dress,Polka Dot Print  Fit And Flare Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,xl,DS05BK5055XL,400,shopify,50,deny,manual,3799,,true,true,
polka-dot-print-fit-and-flare-dress,Polka Dot Print  Fit And Flare Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,2xl,DS05BK5055XXL,400,shopify,50,deny,manual,3799,,true,true,
polka-dot-print-fit-and-flare-dress,Polka Dot Print  Fit And Flare Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,true,Size,m,DS05CR5056M,400,shopify,50,deny,manual,3799,,true,true,active
polka-dot-print-fit-and-flare-dress,Polka Dot Print  Fit And Flare Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,l,DS05CR5056L,400,shopify,50,deny,manual,3799,,true,true,
polka-dot-print-fit-and-flare-dress,Polka Dot Print  Fit And Flare Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,xl,DS05CR5056XL,400,shopify,50,deny,manual,3799,,true,true,
polka-dot-print-fit-and-flare-dress,Polka Dot Print  Fit And Flare Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,2xl,DS05CR5056XXL,400,shopify,50,deny,manual,3799,,true,true,
