Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
cotton-white-floral-embroidered-shirt-with-trouser-co-ords-set,Cotton White Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Cotton White Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,true,Size,m,CO00WH5165M,400,shopify,,deny,manual,,,true,true,active
cotton-white-floral-embroidered-shirt-with-trouser-co-ords-set,Cotton White Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Cotton White Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,l,CO00WH5165L,400,shopify,,deny,manual,,,true,true,
cotton-white-floral-embroidered-shirt-with-trouser-co-ords-set,Cotton White Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Cotton White Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,xl,CO00WH5165XL,400,shopify,,deny,manual,,,true,true,
cotton-white-floral-embroidered-shirt-with-trouser-co-ords-set,Cotton White Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Cotton White Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,2xl,CO00WH5165XXL,400,shopify,,deny,manual,,,true,true,
cotton-white-floral-embroidered-shirt-with-trouser-co-ords-set,Cotton White Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Cotton White Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,true,Size,m,CO00WH5170M,400,shopify,,deny,manual,,,true,true,active
cotton-white-floral-embroidered-shirt-with-trouser-co-ords-set,Cotton White Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Cotton White Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,l,CO00WH5170L,400,shopify,,deny,manual,,,true,true,
cotton-white-floral-embroidered-shirt-with-trouser-co-ords-set,Cotton White Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Cotton White Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,xl,CO00WH5170XL,400,shopify,,deny,manual,,,true,true,
cotton-white-floral-embroidered-shirt-with-trouser-co-ords-set,Cotton White Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Cotton White Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,2xl,CO00WH5170XXL,400,shopify,,deny,manual,,,true,true,
cotton-floral-embroidered-shirt-with-trouser-co-ords-set,Cotton Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Cotton Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,true,Size,s,CO00OW5207S,400,shopify,,deny,manual,,,true,true,active
cotton-floral-embroidered-shirt-with-trouser-co-ords-set,Cotton Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Cotton Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,m,CO00OW5207M,400,shopify,,deny,manual,,,true,true,
cotton-floral-embroidered-shirt-with-trouser-co-ords-set,Cotton Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Cotton Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,l,CO00OW5207L,400,shopify,,deny,manual,,,true,true,
cotton-floral-embroidered-shirt-with-trouser-co-ords-set,Cotton Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Cotton Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,xl,CO00OW5207XL,400,shopify,,deny,manual,,,true,true,
