Version : 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business (Information required for Style Creation/Legal Compliance/Order Tracking),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discoverability - Attributes required for Product Description and Cataloguing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sizing - Mandatory Measurements,,,,,,,,Imagery - Mandatory Image Angles,,,,,,
styleId,styleGroupId,vendorSkuCode,vendorArticleNumber,vendorArticleName,brand,Manufacturer Name and Address with Pincode,Packer Name and Address with Pincode,Importer Name and Address with Pincode,Country Of Origin,Country Of Origin2,Country Of Origin3,Country Of Origin4,Country Of Origin5,articleType,Brand Size,Standard Size,is Standard Size present on Label,Brand Colour (Remarks),GTIN,HSN,SKUCode,MRP,AgeGroup,Prominent Colour,Second Prominent Colour,Third Prominent Colour,FashionType,Usage,Year,season,Product Details,styleNote,materialCareDescription,sizeAndFitDescription,productDisplayName,tags,addedDate,Color Variant GroupId,Fabric,Neck,Sleeve Length,Pattern,Occasion,Weave Type,Surface Styling,Transparency,Type,Print or Pattern Type,Sleeve Styling,Main Trend,Wash Care,Body or Garment Size,taxMaterial,Lining,Closure,Length,Fabric Type,Center Front Open,Sustainable,Character,Multipack Set,Number of Items,Contact Brand or Retailer for pre-sales product queries,Where-to-wear,Style Tip,Care for me,Collection Name,Package Contains,BIS Expiry Date,BIS Certificate Image URL,BIS Certificate Number,Bust ( Inches ),Chest ( Inches ),Front Length ( Inches ),Across Shoulder ( Inches ),Sleeve-Length ( Inches ),To Fit Bust ( Inches ),To Fit Waist ( Inches ),Waist ( Inches ),Front Image,Side Image,Back Image,Detail Angle,Look Shot Image,Additional Image 1,Additional Image 2
1021,TP04GN1021,TP04GN1021XS,TP04GN1021XS,Green Rib Polo Neck Tshirt,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Tops,XS,XS,Yes,Green,,61142000,TP04GN1021,2199,Adults-Women,Green,,,Fashion,Casual,2025,Summer,Green Rib Polo Neck Tshirt,,60% Cotton 40% Polyester,,,,,,Cotton Blend,Shirt Collar,Short Sleeves,Solid,Casual,Knitted,NA,Opaque,Fitted,Ribbed,Regular Sleeves,Knits,Machine Wash,Garment Measurements in,,NA,Button,Regular,Cotton,No,,,NA,1,,,,,,1 Polo Neck Tshirt,,,,28,28,22.5,12,7.75,32,26,24,,,,,,,
1021,TP04GN1021,TP04GN1021S,TP04GN1021S,Green Rib Polo Neck Tshirt,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Tops,S,S,Yes,Green,,61142000,TP04GN1021,2199,Adults-Women,Green,,,Fashion,Casual,2025,Summer,Green Rib Polo Neck Tshirt,,60% Cotton 40% Polyester,,,,,,Cotton Blend,Shirt Collar,Short Sleeves,Solid,Casual,Knitted,NA,Opaque,Fitted,Ribbed,Regular Sleeves,Knits,Machine Wash,Garment Measurements in,,NA,Button,Regular,Cotton,No,,,NA,1,,,,,,1 Polo Neck Tshirt,,,,30,30,23,12.5,8,34,28,26,,,,,,,
1021,TP04GN1021,TP04GN1021M,TP04GN1021M,Green Rib Polo Neck Tshirt,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Tops,M,M,Yes,Green,,61142000,TP04GN1021,2199,Adults-Women,Green,,,Fashion,Casual,2025,Summer,Green Rib Polo Neck Tshirt,,60% Cotton 40% Polyester,,,,,,Cotton Blend,Shirt Collar,Short Sleeves,Solid,Casual,Knitted,NA,Opaque,Fitted,Ribbed,Regular Sleeves,Knits,Machine Wash,Garment Measurements in,,NA,Button,Regular,Cotton,No,,,NA,1,,,,,,1 Polo Neck Tshirt,,,,32,32,23.5,13,8.25,36,30,28,,,,,,,
1021,TP04GN1021,TP04GN1021L,TP04GN1021L,Green Rib Polo Neck Tshirt,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Tops,L,L,Yes,Green,,61142000,TP04GN1021,2199,Adults-Women,Green,,,Fashion,Casual,2025,Summer,Green Rib Polo Neck Tshirt,,60% Cotton 40% Polyester,,,,,,Cotton Blend,Shirt Collar,Short Sleeves,Solid,Casual,Knitted,NA,Opaque,Fitted,Ribbed,Regular Sleeves,Knits,Machine Wash,Garment Measurements in,,NA,Button,Regular,Cotton,No,,,NA,1,,,,,,1 Polo Neck Tshirt,,,,34,34,24,13.5,8.5,38,32,30,,,,,,,
1021,TP04GN1021,TP04GN1021XL,TP04GN1021XL,Green Rib Polo Neck Tshirt,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Tops,XL,XL,Yes,Green,,61142000,TP04GN1021,2199,Adults-Women,Green,,,Fashion,Casual,2025,Summer,Green Rib Polo Neck Tshirt,,60% Cotton 40% Polyester,,,,,,Cotton Blend,Shirt Collar,Short Sleeves,Solid,Casual,Knitted,NA,Opaque,Fitted,Ribbed,Regular Sleeves,Knits,Machine Wash,Garment Measurements in,,NA,Button,Regular,Cotton,No,,,NA,1,,,,,,1 Polo Neck Tshirt,,,,36,36,24.5,14,8.75,40,34,32,,,,,,,
1021,TP04GN1021,TP04GN1021XXL,TP04GN1021XXL,Green Rib Polo Neck Tshirt,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Tops,XXL,XXL,Yes,Green,,61142000,TP04GN1021,2199,Adults-Women,Green,,,Fashion,Casual,2025,Summer,Green Rib Polo Neck Tshirt,,60% Cotton 40% Polyester,,,,,,Cotton Blend,Shirt Collar,Short Sleeves,Solid,Casual,Knitted,NA,Opaque,Fitted,Ribbed,Regular Sleeves,Knits,Machine Wash,Garment Measurements in,,NA,Button,Regular,Cotton,No,,,NA,1,,,,,,1 Polo Neck Tshirt,,,,38,38,25,14.5,9,42,36,34,,,,,,,
1022,TP04BK1022,TP04BK1022XS,TP04BK1022XS,Black Rib Lace Insert Detail Top,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Tops,XS,XS,Yes,Black,,61142000,TP04BK1022,2199,Adults-Women,Black,,,Fashion,Casual,2025,Summer,Black Rib Lace Insert Detail Top,,60% Cotton 40% Polyester,,,,,,Cotton Blend,V-Neck,Long Sleeves,Solid,Casual,Knitted,Lace Inserts,Opaque,Fitted,Ribbed,Regular Sleeves,Knits,Machine Wash,Garment Measurements in,,NA,NA,Regular,Cotton,No,,,NA,1,,,,,,1 Lace Detail Top,,,,26,26,21.5,12,22.75,32,26,23,,,,,,,
1022,TP04BK1022,TP04BK1022S,TP04BK1022S,Black Rib Lace Insert Detail Top,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Tops,S,S,Yes,Black,,61142000,TP04BK1022,2199,Adults-Women,Black,,,Fashion,Casual,2025,Summer,Black Rib Lace Insert Detail Top,,60% Cotton 40% Polyester,,,,,,Cotton Blend,V-Neck,Long Sleeves,Solid,Casual,Knitted,Lace Inserts,Opaque,Fitted,Ribbed,Regular Sleeves,Knits,Machine Wash,Garment Measurements in,,NA,NA,Regular,Cotton,No,,,NA,1,,,,,,1 Lace Detail Top,,,,28,28,22,12.5,23,34,28,25,,,,,,,
1022,TP04BK1022,TP04BK1022M,TP04BK1022M,Black Rib Lace Insert Detail Top,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Tops,M,M,Yes,Black,,61142000,TP04BK1022,2199,Adults-Women,Black,,,Fashion,Casual,2025,Summer,Black Rib Lace Insert Detail Top,,60% Cotton 40% Polyester,,,,,,Cotton Blend,V-Neck,Long Sleeves,Solid,Casual,Knitted,Lace Inserts,Opaque,Fitted,Ribbed,Regular Sleeves,Knits,Machine Wash,Garment Measurements in,,NA,NA,Regular,Cotton,No,,,NA,1,,,,,,1 Lace Detail Top,,,,30,30,22.5,13,23.25,36,30,27,,,,,,,
1022,TP04BK1022,TP04BK1022L,TP04BK1022L,Black Rib Lace Insert Detail Top,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Tops,L,L,Yes,Black,,61142000,TP04BK1022,2199,Adults-Women,Black,,,Fashion,Casual,2025,Summer,Black Rib Lace Insert Detail Top,,60% Cotton 40% Polyester,,,,,,Cotton Blend,V-Neck,Long Sleeves,Solid,Casual,Knitted,Lace Inserts,Opaque,Fitted,Ribbed,Regular Sleeves,Knits,Machine Wash,Garment Measurements in,,NA,NA,Regular,Cotton,No,,,NA,1,,,,,,1 Lace Detail Top,,,,32,32,23,13.5,23.5,38,32,29,,,,,,,
