Version : 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business (Information required for Style Creation/Legal Compliance/Order Tracking),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discoverability - Attributes required for Product Description and Cataloguing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sizing - Mandatory Measurements,,,,,,,,,,,,Imagery - Mandatory Image Angles,,,,,,
styleId,styleGroupId,vendorSkuCode,vendorArticleNumber,vendorArticleName,brand,Manufacturer Name and Address with Pincode,Packer Name and Address with Pincode,Importer Name and Address with Pincode,Country Of Origin,Country Of Origin2,Country Of Origin3,Country Of Origin4,Country Of Origin5,articleType,Brand Size,Standard Size,is Standard Size present on Label,Brand Colour (Remarks),GTIN,HSN,SKUCode,MRP,AgeGroup,Prominent Colour,Second Prominent Colour,Third Prominent Colour,FashionType,Usage,Year,season,Product Details,styleNote,materialCareDescription,sizeAndFitDescription,productDisplayName,tags,addedDate,Color Variant GroupId,Occasion,Sleeve Length,Neck,Top Fabric,Bottom Fabric,Top Type,Bottom Type,Top Pattern,Bottom Pattern,Bottom Closure,Add-Ons,Wash Care,Character,Lining,Number of Pockets,Trends,Sustainable,Number of Items,Top Closure,Collection Name,Package Contains,BIS Expiry Date,BIS Certificate Image URL,BIS Certificate Number,Across Shoulder ( Inches ),Bust ( Inches ),Chest ( Inches ),Front Length ( Inches ),Garment Waist ( Inches ),Inseam Length ( Inches ),Outseam Length ( Inches ),Rise ( Inches ),Sleeve-Length ( Inches ),To Fit Bust ( Inches ),To Fit Hip ( Inches ),To Fit Waist ( Inches ),Front Image,Side Image,Back Image,Detail Angle,Look Shot Image,Additional Image 1,Additional Image 2
5088,CO05BK5088,CO05BK5088L,CO05BK5088L,Zummer Black Rayon Applique Round Neck Tunic With Trouser,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Co-Ords,L,L,Yes,Black,,62041919,CO05BK5088,#ERROR!,Adults-Women,Black,Charcoal,Grey,Fashion,Smart Casual,2025,Summer,Zummer Black Rayon Applique Round Neck Tunic With Trouser,,100% Rayon,,Zummer Black Rayon Applique Round Neck Tunic With Trouser,,,,Casual,Three-Quarter Sleeves,Round Neck,Viscose Rayon,Viscose Rayon,Tunic,Trousers,Embellished,Embellished,Drawstring,NA,Dry Clean,NA,Has a lining,1,Lace Bows Frills and Ruffles,Regular,2,NA,,Set Of Tunic With Trouser,,,,15,40,40,28,40,28,38,12,17,38,42,32,,,,,,,
5088,CO05BK5088,CO05BK5088XL,CO05BK5088XL,Zummer Black Rayon Applique Round Neck Tunic With Trouser,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Co-Ords,XL,XL,Yes,Black,,62041919,CO05BK5088,#ERROR!,Adults-Women,Black,Charcoal,Grey,Fashion,Smart Casual,2025,Summer,Zummer Black Rayon Applique Round Neck Tunic With Trouser,,100% Rayon,,Zummer Black Rayon Applique Round Neck Tunic With Trouser,,,,Casual,Three-Quarter Sleeves,Round Neck,Viscose Rayon,Viscose Rayon,Tunic,Trousers,Embellished,Embellished,Drawstring,NA,Dry Clean,NA,Has a lining,1,Lace Bows Frills and Ruffles,Regular,2,NA,,Set Of Tunic With Trouser,,,,15.5,42,42,28,42,28,38,12,17,40,44,34,,,,,,,
5003,CO00RT5003,CO00RT5003S,CO00RT5003S,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Co-Ords,S,S,Yes,Rust,,62041919,CO00RT5003,#ERROR!,Adults-Women,Rust,Coral,White,Fashion,Travel,2025,Summer,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,,100% Cotton,,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,,,,Casual,Long Sleeves,Shirt Collar,Pure Cotton,Pure Cotton,Shirt,Trousers,Embroidered,Embroidered,Slip-On,NA,Hand Wash,NA,Has a lining,2,Floral,Regular,2,Button,,Set Of  Shirt With Trouser,,,,,38,38,26,40,29,39,12,24,34,38,28,,,,,,,
5003,CO00RT5003,CO00RT5003M,CO00RT5003M,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Co-Ords,M,M,Yes,Rust,,62041919,CO00RT5003,#ERROR!,Adults-Women,Rust,Coral,White,Fashion,Travel,2025,Summer,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,,100% Cotton,,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,,,,Casual,Long Sleeves,Shirt Collar,Pure Cotton,Pure Cotton,Shirt,Trousers,Embroidered,Embroidered,Slip-On,NA,Hand Wash,NA,Has a lining,2,Floral,Regular,2,Button,,Set Of  Shirt With Trouser,,,,,40,40,26,42,29,39,12,24,36,40,30,,,,,,,
5003,CO00RT5003,CO00RT5003L,CO00RT5003L,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Co-Ords,L,L,Yes,Rust,,62041919,CO00RT5003,#ERROR!,Adults-Women,Rust,Coral,White,Fashion,Travel,2025,Summer,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,,100% Cotton,,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,,,,Casual,Long Sleeves,Shirt Collar,Pure Cotton,Pure Cotton,Shirt,Trousers,Embroidered,Embroidered,Slip-On,NA,Hand Wash,NA,Has a lining,2,Floral,Regular,2,Button,,Set Of  Shirt With Trouser,,,,,42,42,26,44,29,39,12,24,38,42,32,,,,,,,
5003,CO00RT5003,CO00RT5003XL,CO00RT5003XL,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Co-Ords,XL,XL,Yes,Rust,,62041919,CO00RT5003,#ERROR!,Adults-Women,Rust,Coral,White,Fashion,Travel,2025,Summer,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,,100% Cotton,,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,,,,Casual,Long Sleeves,Shirt Collar,Pure Cotton,Pure Cotton,Shirt,Trousers,Embroidered,Embroidered,Slip-On,NA,Hand Wash,NA,Has a lining,2,Floral,Regular,2,Button,,Set Of  Shirt With Trouser,,,,,44,44,26,46,29,39,12,24,40,44,34,,,,,,,
5003,CO00RT5003,CO00RT5003XXL,CO00RT5003XXL,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Co-Ords,XXL,XXL,Yes,Rust,,62041919,CO00RT5003,#ERROR!,Adults-Women,Rust,Coral,White,Fashion,Travel,2025,Summer,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,,100% Cotton,,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,,,,Casual,Long Sleeves,Shirt Collar,Pure Cotton,Pure Cotton,Shirt,Trousers,Embroidered,Embroidered,Slip-On,NA,Hand Wash,NA,Has a lining,2,Floral,Regular,2,Button,,Set Of  Shirt With Trouser,,,,,46,46,26,48,29,39,12,24,42,46,36,,,,,,,
5004,CO00BK5004,CO00BK5004S,CO00BK5004S,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Co-Ords,S,S,Yes,Black,,62041919,CO00BK5004,#ERROR!,Adults-Women,Black,Charcoal,White,Fashion,Travel,2025,Summer,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,,100% Cotton,,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,,,,Casual,Long Sleeves,Shirt Collar,Pure Cotton,Pure Cotton,Shirt,Trousers,Embroidered,Embroidered,Slip-On,NA,Hand Wash,NA,Has a lining,2,Floral,Regular,2,Button,,Set Of  Shirt With Trouser,,,,,38,38,26,40,29,39,12,24,34,38,28,,,,,,,
5004,CO00BK5004,CO00BK5004M,CO00BK5004M,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Co-Ords,M,M,Yes,Black,,62041919,CO00BK5004,#ERROR!,Adults-Women,Black,Charcoal,White,Fashion,Travel,2025,Summer,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,,100% Cotton,,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,,,,Casual,Long Sleeves,Shirt Collar,Pure Cotton,Pure Cotton,Shirt,Trousers,Embroidered,Embroidered,Slip-On,NA,Hand Wash,NA,Has a lining,2,Floral,Regular,2,Button,,Set Of  Shirt With Trouser,,,,,40,40,26,42,29,39,12,24,36,40,30,,,,,,,
5004,CO00BK5004,CO00BK5004L,CO00BK5004L,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Co-Ords,L,L,Yes,Black,,62041919,CO00BK5004,#ERROR!,Adults-Women,Black,Charcoal,White,Fashion,Travel,2025,Summer,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,,100% Cotton,,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,,,,Casual,Long Sleeves,Shirt Collar,Pure Cotton,Pure Cotton,Shirt,Trousers,Embroidered,Embroidered,Slip-On,NA,Hand Wash,NA,Has a lining,2,Floral,Regular,2,Button,,Set Of  Shirt With Trouser,,,,,42,42,26,44,29,39,12,24,38,42,32,,,,,,,
