Version : 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business (Information required for Style Creation/Legal Compliance/Order Tracking),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discoverability - Attributes required for Product Description and Cataloguing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sizing - Mandatory Measurements,,,,,,,,Imagery - Mandatory Image Angles,,,,,,
styleId,styleGroupId,vendorSkuCode,vendorArticleNumber,vendorArticleName,brand,Manufacturer Name and Address with Pincode,Packer Name and Address with Pincode,Importer Name and Address with Pincode,Country Of Origin,Country Of Origin2,Country Of Origin3,Country Of Origin4,Country Of Origin5,articleType,Brand Size,Standard Size,is Standard Size present on Label,Brand Colour (Remarks),GTIN,HSN,SKUCode,MRP,AgeGroup,Prominent Colour,Second Prominent Colour,Third Prominent Colour,FashionType,Usage,Year,season,Product Details,styleNote,materialCareDescription,sizeAndFitDescription,productDisplayName,tags,addedDate,Color Variant GroupId,Fabric,Fit,Waist Rise,Fabric 2,Fabric 3,Fade,Distress,Occasion,Brand Fit Name,Length,Number of Pockets,Waistband,Closure,Add-Ons,Shade,Features,Wash Care,Reversible,Stretch,Effects,Type of Distress,Body or Garment Size,Sustainable,Main Trend,Character,Number of Items,Contact Brand or Retailer for pre-sales product queries,What it does for your body,How to care for your denim,Collection Name,Package Contains,BIS Expiry Date,BIS Certificate Image URL,BIS Certificate Number,Garment Waist ( Inches ),Inseam Length ( Inches ),To Fit Waist ( Inches ),Bottom Hem ( Inches ),Hips ( Inches ),Outseam Length ( Inches ),Rise ( Inches ),Thigh ( Inches ),Front Image,Side Image,Back Image,Detail Angle,Look Shot Image,Additional Image 1,Additional Image 2
1154,JN09BK1154,JN09BK1154XL,JN09BK1154XL,Black Denim Front Seam Wide Leg Jeans,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Jeans,XL,34,Yes,Black,,62046200,JN09BK1154,3199,Adults-Women,Black,,,Fashion,Casual,2025,Summer,Black Denim Front Seam Wide Leg Jeans,,100% Cotton,,Black Denim Front Seam Wide Leg Jeans,,,,Cotton,Wide Leg,Mid-Rise,NA,NA,No Fade,Clean Look,Casual,NA,Regular,5,With belt loops,Button and Zip,NA,Dark,NA,Machine Wash,No,Non Stretchable,None,NA,Garment Measurements in,Regular,Retro Denims,NA,1,,,,,1 Wide Leg Jeans,,,,33,29.5,34,28,44,42,12.5,29,,,,,,,
1154,JN09BK1154,JN09BK1154XXL,JN09BK1154XXL,Black Denim Front Seam Wide Leg Jeans,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Jeans,XXL,36,Yes,Black,,62046200,JN09BK1154,3199,Adults-Women,Black,,,Fashion,Casual,2025,Summer,Black Denim Front Seam Wide Leg Jeans,,100% Cotton,,Black Denim Front Seam Wide Leg Jeans,,,,Cotton,Wide Leg,Mid-Rise,NA,NA,No Fade,Clean Look,Casual,NA,Regular,5,With belt loops,Button and Zip,NA,Dark,NA,Machine Wash,No,Non Stretchable,None,NA,Garment Measurements in,Regular,Retro Denims,NA,1,,,,,1 Wide Leg Jeans,,,,35,29,36,30,46,42,13,30,,,,,,,
1155,JN09BL1155,JN09BL1155XS,JN09BL1155XS,Blue Wash Denim Distressed Straight Fit Jeans,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Jeans,XS,26,Yes,Blue,,62046200,JN09BL1155,3199,Adults-Women,Blue,,,Fashion,Casual,2025,Summer,Blue Wash Denim Distressed Straight Fit Jeans,,100% Cotton,,Blue Wash Denim Distressed Straight Fit Jeans,,,,Cotton,Straight Fit,Mid-Rise,NA,NA,Light Fade,Mildly Distressed,Casual,NA,Regular,5,With belt loops,Button and Zip,NA,Medium,NA,Machine Wash,No,Non Stretchable,Whiskers and Chevrons,Ripped,Garment Measurements in,Regular,Frayed Denim,NA,1,,,,,1 Straight Fit Jeans,,,,26,29.5,26,20,36,42,12,23,,,,,,,
1155,JN09BL1155,JN09BL1155S,JN09BL1155S,Blue Wash Denim Distressed Straight Fit Jeans,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Jeans,S,28,Yes,Blue,,62046200,JN09BL1155,3199,Adults-Women,Blue,,,Fashion,Casual,2025,Summer,Blue Wash Denim Distressed Straight Fit Jeans,,100% Cotton,,Blue Wash Denim Distressed Straight Fit Jeans,,,,Cotton,Straight Fit,Mid-Rise,NA,NA,Light Fade,Mildly Distressed,Casual,NA,Regular,5,With belt loops,Button and Zip,NA,Medium,NA,Machine Wash,No,Non Stretchable,Whiskers and Chevrons,Ripped,Garment Measurements in,Regular,Frayed Denim,NA,1,,,,,1 Straight Fit Jeans,,,,28,29,28,22,38,42,12.5,24,,,,,,,
1155,JN09BL1155,JN09BL1155M,JN09BL1155M,Blue Wash Denim Distressed Straight Fit Jeans,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Jeans,M,30,Yes,Blue,,62046200,JN09BL1155,3199,Adults-Women,Blue,,,Fashion,Casual,2025,Summer,Blue Wash Denim Distressed Straight Fit Jeans,,100% Cotton,,Blue Wash Denim Distressed Straight Fit Jeans,,,,Cotton,Straight Fit,Mid-Rise,NA,NA,Light Fade,Mildly Distressed,Casual,NA,Regular,5,With belt loops,Button and Zip,NA,Medium,NA,Machine Wash,No,Non Stretchable,Whiskers and Chevrons,Ripped,Garment Measurements in,Regular,Frayed Denim,NA,1,,,,,1 Straight Fit Jeans,,,,30,28.5,30,24,40,42,13,25,,,,,,,
1155,JN09BL1155,JN09BL1155L,JN09BL1155L,Blue Wash Denim Distressed Straight Fit Jeans,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Jeans,L,32,Yes,Blue,,62046200,JN09BL1155,3199,Adults-Women,Blue,,,Fashion,Casual,2025,Summer,Blue Wash Denim Distressed Straight Fit Jeans,,100% Cotton,,Blue Wash Denim Distressed Straight Fit Jeans,,,,Cotton,Straight Fit,Mid-Rise,NA,NA,Light Fade,Mildly Distressed,Casual,NA,Regular,5,With belt loops,Button and Zip,NA,Medium,NA,Machine Wash,No,Non Stretchable,Whiskers and Chevrons,Ripped,Garment Measurements in,Regular,Frayed Denim,NA,1,,,,,1 Straight Fit Jeans,,,,32,28,32,26,42,42,13.5,26,,,,,,,
1155,JN09BL1155,JN09BL1155XL,JN09BL1155XL,Blue Wash Denim Distressed Straight Fit Jeans,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Jeans,XL,34,Yes,Blue,,62046200,JN09BL1155,3199,Adults-Women,Blue,,,Fashion,Casual,2025,Summer,Blue Wash Denim Distressed Straight Fit Jeans,,100% Cotton,,Blue Wash Denim Distressed Straight Fit Jeans,,,,Cotton,Straight Fit,Mid-Rise,NA,NA,Light Fade,Mildly Distressed,Casual,NA,Regular,5,With belt loops,Button and Zip,NA,Medium,NA,Machine Wash,No,Non Stretchable,Whiskers and Chevrons,Ripped,Garment Measurements in,Regular,Frayed Denim,NA,1,,,,,1 Straight Fit Jeans,,,,34,27.5,34,28,44,42,14,27,,,,,,,
1155,JN09BL1155,JN09BL1155XXL,JN09BL1155XXL,Blue Wash Denim Distressed Straight Fit Jeans,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Jeans,XXL,36,Yes,Blue,,62046200,JN09BL1155,3199,Adults-Women,Blue,,,Fashion,Casual,2025,Summer,Blue Wash Denim Distressed Straight Fit Jeans,,100% Cotton,,Blue Wash Denim Distressed Straight Fit Jeans,,,,Cotton,Straight Fit,Mid-Rise,NA,NA,Light Fade,Mildly Distressed,Casual,NA,Regular,5,With belt loops,Button and Zip,NA,Medium,NA,Machine Wash,No,Non Stretchable,Whiskers and Chevrons,Ripped,Garment Measurements in,Regular,Frayed Denim,NA,1,,,,,1 Straight Fit Jeans,,,,36,27,36,30,46,42,14.5,28,,,,,,,
1158,JN09BL1158,JN09BL1158XS,JN09BL1158XS,Light Blue Wash Straight Fit Jeans,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Jeans,XS,26,Yes,Blue,,62046200,JN09BL1158,3199,Adults-Women,Blue,,,Fashion,Casual,2025,Summer,Light Blue Wash Straight Fit Jeans,,96% Cotton 4% Spandex,,Light Blue Wash Straight Fit Jeans,,,,Cotton,Straight Fit,High-Rise,Elastane,NA,Light Fade,Clean Look,Casual,NA,Regular,5,With belt loops,Button and Zip,NA,Light,NA,Machine Wash,No,Stretchable,None,NA,Garment Measurements in,Regular,Retro Denims,NA,1,,,,,1 Straight Fit Jeans,,,,25,29.5,26,19,33,42,11.5,21,,,,,,,
1158,JN09BL1158,JN09BL1158S,JN09BL1158S,Light Blue Wash Straight Fit Jeans,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Jeans,S,28,Yes,Blue,,62046200,JN09BL1158,3199,Adults-Women,Blue,,,Fashion,Casual,2025,Summer,Light Blue Wash Straight Fit Jeans,,96% Cotton 4% Spandex,,Light Blue Wash Straight Fit Jeans,,,,Cotton,Straight Fit,High-Rise,Elastane,NA,Light Fade,Clean Look,Casual,NA,Regular,5,With belt loops,Button and Zip,NA,Light,NA,Machine Wash,No,Stretchable,None,NA,Garment Measurements in,Regular,Retro Denims,NA,1,,,,,1 Straight Fit Jeans,,,,27,30,28,20,35,42,12,22,,,,,,,
